,City,Names,Bed,Bath,Area,Rating,location,petsallowed,pool,fitnessCenter,gated,grill,closet,washerdryer,countertops,access,Rent
83,denton,Cole Place,1 - 2 ,1 - 2 ,470 - 886 ,?,"1004 Cleveland St,
                Denton,
                
TX
76201",1,0,0,0,0,1,1,0,0,"800 - 1,250"
84,denton,Prairie Hollow Apartments,1 - 2 ,1 ,510 - 710 ,2.9,"2500 N Interstate 35,
                Denton,
                
TX
76201",1,0,0,0,0,0,0,0,0,780 - 950
85,denton,The Cluster Apartments,Studio - 1 ,1 ,300 - 940 ,?,"2269 W Oak St,
                Denton,
                
TX
76201",1,0,0,0,0,1,0,0,0,"700 - 1,200"
86,denton,1009 S Avenue B Unit 1,1 ,1 ,600 ,?,"1009 S Avenue B,
                Denton,
                
TX
76201",0,0,0,0,0,0,1,0,0,"1,250"
87,denton,400 Lakeview Blvd Unit B,2 ,2.5 ,"1,400 ",?,"400 Lakeview Blvd,
                Denton,
                
TX
76208",0,0,0,0,0,0,1,0,0,"1,700"
88,denton,1913 Mack Plz,3 ,2 ,"1,100 ",?,"1913 Mack Plz,
                Denton,
                
TX
76209",0,0,0,0,0,0,1,0,0,"2,250"
89,denton,904 Summer Stream Rd,3 ,2 ,"1,926 ",?,"904 Summer Stream Rd,
                Denton,
                
TX
76207",0,0,0,0,0,1,1,1,0,"2,300"
90,denton,3925 N Elm St Unit 4 - 4304.916014,1 ,1 ,720 ,?,"3925 N Elm St,
                Denton,
                
TX
76207",0,0,0,0,0,0,1,0,0,"2,055"
91,denton,1507 Mingo Rd,1 ,1 ,,?,"1507 Mingo Rd,
                Denton,
                
TX
76209",?,0,0,0,0,0,0,0,0,825
92,denton,2609 Pinto Dr,3 ,2 ,"2,272 ",?,"2609 Pinto Dr,
                Denton,
                
TX
76210",0,0,0,0,0,0,0,0,0,"2,500"
93,denton,3925 N Elm St Unit 4 - 4210.1205506,1 ,1 ,773 ,?,"3925 N Elm St,
                Denton,
                
TX
76207",0,0,0,0,0,0,1,0,0,"2,422"
94,denton,716 Ticonderoga Dr,4 ,4 ,,?,"716 Ticonderoga Dr,
                Denton,
                
TX
76205",0,?,?,?,?,?,?,?,?,"2,568"
95,denton,6212 Thoroughbred Trail,4 ,2 ,"2,087 ",?,"6212 Thoroughbred Trail,
                Denton,
                
TX
76210",0,0,0,0,0,0,0,0,0,"2,400"
96,denton,3608 Marianne Cir,6 ,3 ,"2,737 ",?,"3608 Marianne Cir,
                Denton,
                
TX
76209",?,?,?,?,?,?,?,?,?,"3,200"
97,denton,2421 Wildwood Lane,3 ,2 ,"1,276 ",?,"2421 Wildwood Ln,
                Denton,
                
TX
76210",?,?,?,?,?,?,?,?,?,"1,995"
98,denton,1112 Autumn Oak Dr,3 ,2 ,,?,"1112 Autumn Oak Dr,
                Denton,
                
TX
76209",?,?,?,?,?,?,?,?,?,"1,799"
99,denton,1601 Bunting Dr,3 ,2 ,"2,192 ",?,"1601 Bunting Dr,
                Northlake,
                
TX
76226",0,0,0,0,0,0,1,0,0,"3,300"
100,denton,2000 Lee Dr,3 ,2 ,"1,244 ",?,"2000 Lee Dr,
                Denton,
                
TX
76209",0,0,0,0,0,0,0,0,0,"1,895"
101,denton,2420 Louise St Unit 1,1 ,1 ,810 ,?,"2420 Louise St,
                Denton,
                
TX
76201",0,0,0,0,0,0,0,0,0,"1,175"
102,denton,601 Bolivar St,3 ,2 ,"1,310 ",?,"601 Bolivar St,
                Denton,
                
TX
76201",0,0,0,0,0,0,0,0,0,"1,795"
103,denton,1026 W Hickory St,5 ,3.5 ,"2,553 ",?,"1026 W Hickory St,
                Denton,
                
TX
76201",0,0,0,0,0,0,1,0,0,"3,500"
104,denton,828 Abbots Ln,4 ,2 ,"2,576 ",?,"828 Abbots Ln,
                Denton,
                
TX
76205",0,0,0,0,0,1,0,1,0,"2,500"
105,denton,116 Samuel St,3 ,2 ,"1,527 ",?,"116 Samuel St,
                Denton,
                
TX
76207",0,0,0,0,0,0,0,0,0,"2,000"
106,denton,3505 Lipizzan Dr,3 ,2 ,"1,860 ",?,"3505 Lipizzan Dr,
                Denton,
                
TX
76210",0,0,0,0,0,0,0,0,0,"2,245"
107,denton,6005 English Saddle Ln,3 ,2.5 ,"2,181 ",?,"6005 English Saddle Ln,
                Denton,
                
TX
76210",0,0,0,0,0,0,0,0,0,"2,545"
108,denton,8605 Mild Creek Ln,3 ,2 ,"1,860 ",?,"8605 Mild Creek Ln,
                Denton,
                
TX
76210",0,0,0,0,0,0,0,0,0,"1,995"
109,denton,2104 Moonsail Ln,4 ,2 ,"2,033 ",?,"2104 Moonsail Ln,
                Denton,
                
TX
76210",0,0,0,0,0,0,0,0,0,"2,675"
110,denton,1017 Collier St,1 ,1 ,"1,392 ",?,"1017 Collier St,
                Denton,
                
TX
76201",0,0,0,0,0,0,0,0,0,"1,100"
111,denton,5417 Galante Ln,4 ,2 ,"1,785 ",?,"5417 Galante Ln,
                Denton,
                
TX
76208",0,0,0,0,0,0,1,0,0,"2,150"
112,denton,4600 Hammerstein Blvd,4 ,2 ,"2,375 ",?,"4600 Hammerstein Blvd,
                Denton,
                
TX
76210",0,0,0,0,0,0,0,0,0,"3,295"
113,denton,7713 Settlement Dr,3 ,2 ,"1,701 ",?,"7713 Settlement Dr,
                Denton,
                
TX
76210",0,0,0,0,0,0,0,0,0,"1,950"
114,denton,1112 Tallahassee Dr,3 ,2 ,"1,781 ",?,"1112 Tallahassee Dr,
                Denton,
                
TX
76208",0,0,0,0,0,0,0,0,0,"2,300"
115,denton,627 Woodland St,3 ,2.5 ,"2,396 ",?,"627 Woodland St,
                Denton,
                
TX
76209",?,0,0,0,0,0,0,0,0,"2,850"
