,City,Names,Bed,Area,Rating,location,petsallowed,pool,fitnessCenter,grill,closet,washerdryer,countertops,access,Rent
76,denton,The Crossing Apartments,1.0,570.0,3.0,"2413 Prairie St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0
77,denton,Holly Tree,2.0,842.0,3.0,"2527 Louise St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1050.0
78,denton,The Loop,3.0,1100.0,2.8,"517 N Loop 288,
                Denton,
                
TX
76209",1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1650.0
79,denton,Woodhill Apartments,2.0,1148.0,3.9,"1408 Teasley Ln,
                Denton,
                
TX
76205",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1784.0
80,denton,Waterford at Spencer Oaks,3.0,1100.0,4.0,"2100 Spencer Rd,
                Denton,
                
TX
76205",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1450.0
81,denton,Emerald Lane,2.0,792.0,3.9,"3401 Joyce Ln,
                Denton,
                
TX
76207",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1050.0
82,denton,Bonnie Green Apartments,2.0,850.0,3.9,"101-121 S Bonnie Brae St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1100.0
83,denton,Cole Place,2.0,886.0,3.0,"1004 Cleveland St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1250.0
84,denton,Prairie Hollow Apartments,2.0,710.0,2.9,"2500 N Interstate 35,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0
85,denton,The Cluster Apartments,1.0,940.0,3.0,"2269 W Oak St,
                Denton,
                
TX
76201",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1200.0
86,denton,1009 S Avenue B Unit 1,1.0,600.0,3.0,"1009 S Avenue B,
                Denton,
                
TX
76201",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1250.0
87,denton,400 Lakeview Blvd Unit B,2.0,1400.0,3.0,"400 Lakeview Blvd,
                Denton,
                
TX
76208",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1700.0
88,denton,1913 Mack Plz,3.0,1100.0,3.0,"1913 Mack Plz,
                Denton,
                
TX
76209",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2250.0
89,denton,904 Summer Stream Rd,3.0,1926.0,3.0,"904 Summer Stream Rd,
                Denton,
                
TX
76207",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2300.0
